Index,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating
318,Sathru,Thriller,6,Naveen Nanjundan,Master Ajithesh,219,2019,5,7,6
319,Boomerang,Action,5.6,R. Kannan,Atharvaa Murali,356,2019,7,6,6.2
320,Thadam,Action,8.2,Magizh Thirumeni,Arun Vijay,3728,2019,8,6,7.4
321,90 ML,Comedy,3.3,Anita Udeep,Oviya,449,2019,9,8,6.766666667
322,LKG,Comedy,6.9,Prabhu,RJ Balaji,983,2019,8,9,7.966666667
323,Vantha Rajavathaan Varuven,Action,3.7,Sundar C.,T.R. Silambarasan,500,2019,9,8,6.9
324,Dhilluku Dhuddu 2,Comedy,5.3,Rambala,Santhanam,497,2019,7,9,7.1
325,Dev,Action,4.8,Rajath Ravishankar,Karthi,724,2019,5,8,5.933333333
326,Charlie Chaplin 2,Comedy,3.8,Sakthi Chidambaram,Prabhu Deva,215,2019,4,7,4.933333333
327,Petta,Action,7.3,Karthik Subbaraj,Rajinikanth,7545,2019,8,8,7.766666667
328,Viswasam,Action,6.7,Siva,Ajith Kumar,5907,2019,8,9,7.9
